Oversampling Factor,Noise Level,Amplitude Error Mean,Amplitude Error Std,Frequency Error Mean,Frequency Error Std,Backward Error Mean,Backward Error Std,Relative Backward Error Mean,Relative Backward Error Std,Condition Number Mean,Condition Number Std,Condition Number Min,Condition Number Max,Condition Number Median,Amplitude Error Ratio Mean,Amplitude Error Ratio Std,Frequency Error Ratio Mean,Frequency Error Ratio Std,RMSE Mean,RMSE Std,Rel RMSE Mean,Rel RMSE Std,Backward Error Fixed Mean,Backward Error Fixed Std,Relative Backward Error Fixed Mean,Relative Backward Error Fixed Std,RMSE Fixed Mean,RMSE Fixed Std,Rel RMSE Fixed Mean,Rel RMSE Fixed Std
1,0.0,1.3569081209104417e-15,3.944304526105059e-31,3.9001301185285697e-16,0.0,7.506669372775021e-15,1.5777218104420236e-30,1.5815674265468857e-15,3.944304526105059e-31,9408768399247044.0,2.0,9408768399247046.0,9408768399247046.0,9408768399247046.0,0.18076034170782035,5.551115123125783e-17,0.051955533470988496,6.938893903907228e-18,2.5022231242583407e-15,3.944304526105059e-31,1.5815674265468849e-15,1.9721522630525295e-31,7.506669372775021e-15,1.5777218104420236e-30,1.5815674265468857e-15,3.944304526105059e-31,2.5022231242583407e-15,3.944304526105059e-31,1.5815674265468849e-15,1.9721522630525295e-31
1,0.05555555555555555,0.058128068129608156,0.0214873082424531,0.008654699627898,0.0031052767266907463,0.05499463414981845,0.029079035982158746,0.011579256710749391,0.006121331158718748,115.86305271576633,129.15548616972606,18.83247826076506,1660.7686021068787,79.03457339105073,1.606952771652646,2.0444474593061317,0.2384499641638296,0.29289378103500274,0.018331544716606155,0.009693011994052916,0.011579256710749386,0.0061213311587187446,0.05499463414981845,0.029079035982158746,0.011579256710749391,0.006121331158718748,0.018331544716606155,0.009693011994052916,0.011579256710749386,0.0061213311587187446
1,0.1111111111111111,0.11668866340392013,0.04363400716946021,0.017386920454988197,0.006313986301492091,0.10980223490264342,0.057952252880163285,0.02308049472237043,0.0121779233011162,59.17936845534724,75.53061782268756,9.727249631878859,1349.3319552008636,39.29841068578035,1.644011861352574,2.372218807755622,0.24297687461943818,0.32329351710123294,0.0366007449675478,0.019317417626721095,0.023080494722370417,0.012177923301116195,0.10980223490264342,0.057952252880163285,0.02308049472237043,0.0121779233011162,0.0366007449675478,0.019317417626721095,0.023080494722370417,0.012177923301116195
1,0.16666666666666666,0.17621312113280965,0.06712487152768229,0.026292520448781127,0.00977549150257816,0.16424337274872924,0.08640371468765107,0.03443127351240991,0.018108849458446086,40.05676547211513,51.91413348985869,6.855286255197083,741.7760413475605,26.567379310757218,1.6687942937008602,2.4078271260612056,0.2471402840552593,0.3399226145482881,0.0547477909162431,0.02880123822921702,0.03443127351240989,0.018108849458446076,0.16424337274872924,0.08640371468765107,0.03443127351240991,0.018108849458446086,0.0547477909162431,0.02880123822921702,0.03443127351240989,0.018108849458446076
1,0.2222222222222222,0.23725860931310985,0.09277546373246456,0.03547763665056367,0.013687249035293421,0.21807059420946423,0.1140721533312456,0.045547188471816186,0.023825704921807914,30.459778771246505,42.73857833925543,5.6438513320147194,786.9661668448078,19.971296508059012,1.6888450750183992,2.568217758254234,0.2504481159226352,0.3688674961047513,0.07269019806982141,0.0380240511104152,0.04554718847181616,0.023825704921807904,0.21807059420946423,0.1140721533312456,0.045547188471816186,0.023825704921807914,0.07269019806982141,0.0380240511104152,0.04554718847181616,0.023825704921807904
1,0.2777777777777778,0.30038838648847166,0.12162008194315205,0.045055030186302136,0.018296758800045245,0.2709015789188226,0.14054491356950016,0.05631932828013591,0.029236501520647083,24.419721903428602,31.794527685021716,5.055675609660918,461.58511474679915,16.195777543549468,1.6924646164670192,2.374908399818134,0.25044533874395264,0.33271780306422744,0.0903005263062742,0.04684830452316672,0.056319328280135875,0.029236501520647065,0.2709015789188226,0.14054491356950016,0.05631932828013591,0.029236501520647083,0.0903005263062742,0.04684830452316672,0.056319328280135875,0.029236501520647065
1,0.3333333333333333,0.36602418986865326,0.15400033075912262,0.05513717111876315,0.023787779288765493,0.32227581035326236,0.16566799084407227,0.06662740224404823,0.03430541164391587,20.61124758181779,27.036740402559367,4.228769613453122,410.7265672066572,13.616117217075557,1.7175060088712866,2.420086222802925,0.2551503052279752,0.3573671919362418,0.10742527011775412,0.05522266361469076,0.0666274022440482,0.03430541164391585,0.32227581035326236,0.16566799084407227,0.06662740224404823,0.03430541164391587,0.10742527011775412,0.05522266361469076,0.0666274022440482,0.03430541164391585
1,0.38888888888888884,0.43509817893244546,0.19199613555452555,0.06589407031728498,0.03050845843395682,0.37171590393473447,0.18935307758492498,0.07635304888601968,0.03900169389571058,17.661311472986103,21.344788128277337,3.6693105002660147,256.94476501033023,11.81658603337744,1.7182411347731863,2.1374044251567725,0.2559006677008058,0.308840747621385,0.12390530131157816,0.06311769252830833,0.07635304888601965,0.03900169389571056,0.37171590393473447,0.18935307758492498,0.07635304888601968,0.03900169389571058,0.12390530131157816,0.06311769252830833,0.07635304888601965,0.03900169389571056
1,0.4444444444444444,0.5079264936848125,0.23595978208170315,0.08116432345069322,0.08665999356898861,0.4187328114763726,0.21172750867805137,0.08538218640582204,0.04333830834587574,15.724441646064323,19.948915386839744,3.2833597696851218,335.47573499669176,10.66188652582635,1.75817348201512,2.20676621261731,0.2685634045409107,0.3376456326661239,0.13957760382545753,0.07057583622601712,0.08538218640582201,0.043338308345875716,0.4187328114763726,0.21172750867805137,0.08538218640582204,0.04333830834587574,0.13957760382545753,0.07057583622601712,0.08538218640582201,0.043338308345875716
1,0.5,0.5849795249972394,0.2869546407472098,0.10159162119321888,0.1429300141232672,0.46307139550177384,0.23299755378258064,0.09365852588599706,0.04735640710792056,14.335673025073884,19.53238397140753,3.2655305640469003,404.77989866662784,9.796465526392405,1.8233529024756026,2.380496362280998,0.2990210625265629,0.46754670678438004,0.1543571318339246,0.0776658512608602,0.093658525885997,0.04735640710792053,0.46307139550177384,0.23299755378258064,0.09365852588599706,0.04735640710792056,0.1543571318339246,0.0776658512608602,0.093658525885997,0.04735640710792053
